Producto ID;Nombre;Modelo;META KEYWORDS;META DESCRIPTION;SKU;Stock Status;Fabricante;Envio;Precio;Impuesto;Disponibilidad;Peso;Unidad de Peso;Largo;Ancho;Alto;Unidad de Longitud;Creado;Modificado;Veces Visto;Stock Minimo;Costo;Cantidad
108;yeah;150005;;;;Disponible;;1;0;;10/10/2012;0;Kilogramo;0;0;0;Cent;;;;1;0;34
105;ACT II MANTEQUILLA;150002;;;;Disponible;;1;0;;10/10/2012;0;Kilogramo;0;0;0;Cent;;;;1;0;1
110;ACT II MANTEQUILLA 12 X 3 X 91Grs;150007;;;;Disponible;;1;3242;;10/10/2012;0;Kilogramo;0;0;0;Cent;;;;1;0;34
71;ACT II MANTEQUILLA 4X18X91 GRS;150001;;ACT II MANTEQUILLA 4X18X91 GRS;;Disponible;;1;210;IVA;09/08/2012;0;Kilogramo;0;0;0;Cent;06/01/2009 23:21;09/08/2012 18:15;;1;0;1
107;ACT II NATURAL 12 X 3 X 91Grs;150004;;;;Disponible;;1;0;;10/10/2012;0;Kilogramo;0;0;0;Cent;;;;1;0;1
106;ACT II NATURALES 4X18X91 GRS;150003;;;;Disponible;;1;0;;10/10/2012;0;Kilogramo;0;0;0;Cent;;;;1;0;1
109;ACT II QUESO AMARILLO 4X15X96GRS;150006;;;;Disponible;;1;0;;10/10/2012;0;Kilogramo;0;0;0;Cent;;;;1;0;1
111;AZUCARADAS 240 GRS;150020;;;;Disponible;;1;234;;10/10/2012;0;Kilogramo;0;0;0;Cent;;;;1;0;345
114;CHOCO SAFARI 240 GRS;150030;;;;Disponible;;1;0;;10/10/2012;0;Kilogramo;0;0;0;Cent;;;;1;0;1
115;CHOCOAZUCARADAS 12 X 240 GRS;150031;;;;Disponible;;1;0;;10/10/2012;0;Kilogramo;0;0;0;Cent;;;;1;0;1
116;CRONCH FLAKES 250 grs. (Three Pack);150035;;;;Disponible;;1;234;;10/10/2012;0;Kilogramo;0;0;0;Cent;;;;1;0;1
120;DANIBISK GALLETON XTRA CHOCO 200 GRS;150042;;;;Disponible;;1;0;;10/10/2012;0;Kilogramo;0;0;0;Cent;;;;1;0;1
118;DANIBISK GAYETN CLASIC 200 GRS;150040;;;;Disponible;;1;0;;10/10/2012;0;Kilogramo;0;0;0;Cent;;;;1;0;1
119;yeah;150041;;;;Disponible;;1;0;;10/10/2012;0;Kilogramo;0;0;0;Cent;;;;1;0;656
121;DANIBSK GAYETN FIESTA 200G;150043;;;;Disponible;;1;234;;10/10/2012;0;Kilogramo;0;0;0;Cent;;;;1;0;1
124;FLIPS CHOCO 120 grs;150052;;;;Disponible;;1;0;;10/10/2012;0;Kilogramo;0;0;0;Cent;;;;1;0;1
127;FLIPS CHOCOLATE 24 X 220grs;150055;;;;Disponible;;1;0;;10/10/2012;0;Kilogramo;0;0;0;Cent;;;;1;0;1
122;FLIPS CHOCOLATE E 12X12X28 GRS;150050;;;;Disponible;;1;0;;10/10/2012;0;Kilogramo;0;0;0;Cent;;;;1;0;1
129;FLIPS DOBLE CHOCO 12 X 12X28 GR;150057;;;;Disponible;;1;0;;10/10/2012;0;Kilogramo;0;0;0;Cent;;;;1;0;1
128;FLIPS DOBLE CHOCO 24 X 220grs;150056;;;;Disponible;;1;0;;10/10/2012;0;Kilogramo;0;0;0;Cent;;;;1;0;1
125;FLIPS DULCE DE LECHE 120 grs;150053;;;;Disponible;;1;0;;10/10/2012;0;Kilogramo;0;0;0;Cent;;;;1;0;1
126;FLIPS DULCE DE LECHE 24 X 220grs;150054;;;;Disponible;;1;0;;10/10/2012;0;Kilogramo;0;0;0;Cent;;;;1;0;1
123;yeah;150051;;;;Disponible;;1;0;;10/10/2012;0;Kilogramo;0;0;0;Cent;;;;1;0;1
130;yeah;150058;;;;Disponible;;1;0;;10/10/2012;0;Kilogramo;0;0;0;Cent;;;;1;0;1
113;yeah;150025;;;;Disponible;;1;0;;10/10/2012;0;Kilogramo;0;0;0;Cent;;;;1;0;1
117;yeah;150037;;;;Disponible;;1;0;;10/10/2012;0;Kilogramo;0;0;0;Cent;;;;1;0;1
131;yeah;150060;;;;Disponible;;1;0;;10/10/2012;0;Kilogramo;0;0;0;Cent;;;;1;0;1
132;yeah;150061;;;;Disponible;;1;0;;10/10/2012;0;Kilogramo;0;0;0;Cent;;;;1;0;1
133;ACT II MANTEQUILLA;150068;;;;Disponible;;1;-205.5128626;;10/10/2012;0;Kilogramo;0;0;0;Cent;;;;1;0;10.28817734
135;ACT II MANTEQUILLA 12 X 3 X 91Grs;150071;;;;Disponible;;1;-228.3431856;;10/10/2012;0;Kilogramo;0;0;0;Cent;;;;1;0;8.433497537
136;ACT II MANTEQUILLA 4X18X91 GRS;150073;;ACT II MANTEQUILLA 4X18X91 GRS;;Disponible;;1;-251.1735085;IVA;09/08/2012;0;Kilogramo;0;0;0;Cent;06/01/2009 23:21;09/08/2012 18:15;;1;0;6.578817734
137;ACT II NATURAL 12 X 3 X 91Grs;150075;;;;Disponible;;1;-274.0038314;;10/10/2012;0;Kilogramo;0;0;0;Cent;;;;1;0;4.724137931
138;ACT II NATURALES 4X18X91 GRS;150077;;;;Disponible;;1;-296.8341544;;10/10/2012;0;Kilogramo;0;0;0;Cent;;;;1;0;2.869458128
139;ACT II QUESO AMARILLO 4X15X96GRS;150079;;;;Disponible;;1;-319.6644773;;10/10/2012;0;Kilogramo;0;0;0;Cent;;;;1;0;1.014778325
140;AZUCARADAS 240 GRS;150081;;;;Disponible;;1;-342.4948002;;10/10/2012;0;Kilogramo;0;0;0;Cent;;;;1;0;-0.839901478
141;CHOCO SAFARI 240 GRS;150083;;;;Disponible;;1;-365.3251232;;10/10/2012;0;Kilogramo;0;0;0;Cent;;;;1;0;-2.694581281
142;CHOCOAZUCARADAS 12 X 240 GRS;150086;;;;Disponible;;1;-388.1554461;;10/10/2012;0;Kilogramo;0;0;0;Cent;;;;1;0;-4.549261084
143;CRONCH FLAKES 250 grs. (Three Pack);150088;;;;Disponible;;1;-410.985769;;10/10/2012;0;Kilogramo;0;0;0;Cent;;;;1;0;-6.403940887
144;DANIBISK GALLETON XTRA CHOCO 200 GRS;150090;;;;Disponible;;1;-433.816092;;10/10/2012;0;Kilogramo;0;0;0;Cent;;;;1;0;-8.25862069
145;DANIBISK GAYETN CLASIC 200 GRS;150092;;;;Disponible;;1;-456.6464149;;10/10/2012;0;Kilogramo;0;0;0;Cent;;;;1;0;-10.11330049
146;yeah;150094;;;;Disponible;;1;-479.4767378;;10/10/2012;0;Kilogramo;0;0;0;Cent;;;;1;0;-11.9679803
147;DANIBSK GAYETN FIESTA 200G;150096;;;;Disponible;;1;-502.3070608;;10/10/2012;0;Kilogramo;0;0;0;Cent;;;;1;0;-13.8226601
148;FLIPS CHOCO 120 grs;150099;;;;Disponible;;1;-525.1373837;;10/10/2012;0;Kilogramo;0;0;0;Cent;;;;1;0;-15.6773399
