"First Name";"Email Address";Url;Telephone;Address
"DELTA PUBLICIDAD INFLABLES INTERNACIONAL LTDA.";ricardoinflables@gmail.com;www.eventosdelta.com;;"Visite Nuestra Página Web Chile, Santiago"
"DELTA PUBLICIDAD INFLABLES INTERNACIONAL LTDA.";ricardoinflables@gmail.com;www.inflablesdelta.com;;"Visite Nuestra Página Web Chile, Santiago"
"INFLABLES & BANDERAS";ricardoinflables@gmail.com;www.inflablesdelta.com;;"Visite Nuestra Página Web Chile, Santiago"
"GOLPEADORES & BALONES PARA CONCIERTO";ricardoinflables@gmail.com;www.inflablesdelta.com;;"Visite Nuestra Página Web Chile, Santiago"
"SKY DANCER & INFLABLES";ricardoinflables@gmail.com;www.inflablesdelta.com;;"Visite Nuestra Página Web Chile, Santiago"
"KHORNER PRODUCCIONES";;;"(56) (2) 2761928";"Av. José Pedro Alessandri 2430 Macul Chile, Santiago"
SEG-PLAST;;;"(56) (2) 2392749";"Zañartu 2245 Ñuñoa Chile, Santiago"
"ADHESIVOS PUBLICITARIOS RASMUSSEN Y ALSEVIC LTDA.";;;"Telefax: (56) (61) 229155";"Mejicana 375 Chile, Punta Arenas"
"BRAULIO PUBLICIDAD";;;"(56) (2) 7739282";"Alejandro Fierro 4514 Quinta Normal Chile, Santiago"
"MARIN©S CHILE";;;"(56) (2) 6210339";"Av. Einstein 700 Recoleta Chile, Santiago"
"GESTO GRAFICO";;;"Telefax: (56) (61) 220102";"Ig. Carrera Pinto 423 Chile, Punta Arenas"
"BANDERINES CONDOR";;;"(56) (2) 6985895";"Aconcagua 1312 Santiago Chile, Santiago"
"G&S PUBLICIDAD";;;"(56) (71) 2228728";"Talca Chile, Talca"
"DISEÑOTEKNIA SISTEMAS DE EXHIBICIÓN";;;"(56) (2) 5360095";"Santiago de Chile Chile, Santiago"
