"First Name";"Email Address";Url;Telephone;Address
"ECUA COMPU CENTER";;;"(56) (72) 237555";"Estado 106 Chile, Rancagua"
"TELECOMUNICAIONES SIGLO XXI";;;"(56) (2) 4294400";"Av. Providencia 2653 Piso 13 Of.1301 Providencia Chile, Santiago"
"TELEFONÍA MÓVILES CHILE S.A.";;;"(56) (2) 3395000";"Av. El Bosque Sur 90 Las Condes Chile, Santiago"
"ULTRACOM LTDA.";;;"(56) (2) 2342862";"Av. Once de Septiembre 2260 Of.131 Providencia Chile, Santiago"
"TELEFÓNICA CHILE";;;"(56) (32) 6003000";"Valparaíso Chile, Valparaiso"
TELMEX;;;"(56) (32) 2594407";"Chacabuco 1948 Of.12 Chile, Valparaiso"
"COASA S.A.";;;"(56) (2) 2693140";"Av. Irarrázaval 2831 Ñuñoa Chile, Santiago"
"ENTEL PCS";;;"(56) (71) 367700";"Talca Chile, Talca"
"TELEVISON NACIONAL DE CHILE";;;"Telefax: (56) (72) 239501";"Av. Cachapoal 1330 Chile, Rancagua"
"CLARO CHILE S.A.";;;"(56) (32) 835800";"Av. Libertad 1348 Mall Marina Arauco Loc.E-04 Chile, Viña del Mar"
"MOVISTAR CHILE";;;"(56) (71) 6002010";"Talca Chile, Talca"
ALFOTEC;;;"(56) (2) 7243360";"Terranova 196 Providencia Chile, Santiago"
"DESBLOQUEO Y SERVICIO TECNICO DE CELULARES TELEFAG";;;"(56) (32) 2715331";"Av. Valparaiso 469 Local 277 Chile, Viña del Mar"
"DIGITAL MAULE";;;"(56) (75) 324342";"Yungay 737 Chile, Curico"
"SITE CHILE S.A.";;;"(56) (2) 3666575";"Passy 050 Providencia Chile, Santiago"
"MOVIL PC";;;"(56) (71) 613712";"8 Oriente 1154 Oficina 11 Edificio Del Sol Chile, Talca"
