"First Name";"Email Address";Url;Telephone;Address
"JET BOAT";;;"(56) (2) 2776711";"Américo Vespucio Sur 1260 Chile, Santiago"
"IRON HORSE";;;"(56) (2) 2778381";"John Jackson 1734 La Reina Chile, Santiago"
"ALCALDE MOTOS";;;"(56) (32) 2692949";"5 Oriente 825 Chile, Viña del Mar"
"BROOKS MOTORCYCLES";;;"(56) (2) 7165164";"Av. Tobalaba 13777 Peñalolén Chile, Santiago"
KYMCO;;;"(56) (2) 2114040";"Av. Presidente Kennedy 8324 Vitacura Chile, Santiago"
"MOTOS LORCA";;;"(56) (32) 2884920";"Arlegui 758 Chile, Viña del Mar"
"DISTRIBUIDOR HONDA PABLO PAREDES";;;"(56) (61) 224239";"Magallanes 330 Chile, Punta Arenas"
"MOTOR Y SERVICIO TECNICO GEMINI";;;"Telefax: (56) (32) 225682";"Blanco Encalada 371 La Calera Chile, Valparaiso"
MOTORFUN;;;"(56) (55) 836748";"Av.Sept. Linea 3460 p.1 Torre Codelco 1 Chile, Antofagasta"
"PALMAX - AUTOPARTES";;;"(56) (2) 6346808";"Lira 533 Santiago Chile, Santiago"
"BUSVIAL LTDA.";;;"(56) (2) 6890025";"Gorbea 2795 Esq. Bascuñan Of.522 Providencia Chile, Santiago"
"MOTOS REP'S";;;"(56) (32) 2927421";"Los Carrera 0635 Quilpue Chile, Valparaiso"
"MAICO SPORT";;;"(56) (2) 2012295";"Av. Las Tranqueras 1449 Vitacura Chile, Santiago"
"QUEULE LTDA.";;;"(56) (2) 2225154";"Lira 651 Santiago Chile, Santiago"
"MOTO COOL";;;"(56) (2) 9454178";"Frei 4 San Bernardo Chile, Santiago"
"ROJO MOTOS";;;"(56) (2) 3238655";"Concon 23 Estación Central Chile, Santiago"
"CIDEF KAWASAKI";;;"(56) (2) 2222922";"Av. Francisco Bilbao 520 Providencia Chile, Santiago"
"AUTOMOTRÍZ AZIM";;;"Telefax: (56) (57) 427439";"Manzana A Sitio 6 Sector 5 - Barrio Industrial Iquique Chile, Iquique"
"SOCIEDAD COMERCIAL ANATTA LTDA.";;;"(56) (2) 6810320";"General Bulnes 56 Santiago Chile, Santiago"
"UBIKE MOTOS";;;"(56) (2) 6651344";"Lira 650 Santiago Chile, Santiago"
HONDA;;;"(56) (2) 2709800";"San Ignacio 031 Quilicura Chile, Santiago"
"MOTOFRENO EXPRESS";;;"(56) (2) 5555219";"Gran Avda. José Miguel Carrera 2552 San Miguel Chile, Santiago"
"TU MOTO";;;"(56) (2) 7212313";"Av. Pedro Fontova 6251 Huechuraba Chile, Santiago"
"FULL MOTOS";;;"Telefax: (56) (72) 242308";"Alameda 651 Chile, Rancagua"
MOTO-ROCK;;;"(56) (2) 7345939";"Av. Independencia 3757-B Conchalí Chile, Santiago"
"EN 2 RUEDAS";;;"(56) (2) 3611689";"Av. Vicuña Mackenna 9008 Chile, Santiago"
"JORDAN MACHINES";;;"(56) (32) 2686055";"Valparaiso Chile, Valparaiso"
MOTOVIVA;;;"(56) (2) 6657468";"Lira 525 Santiago Chile, Santiago"
MOTORRAD;;;"(56) (2) 6351782";"Av. Vicuña Mackenna 669 Chile, Santiago"
"SAM MOTOS B.M.W.";;;"(56) (57) 392818";"Iquique Chile, Iquique"
FERIMOS;;;"(56) (2) 6352217";"Lira 675 Santiago Chile, Santiago"
"AUTOMOTORA GLUBUS ATV.";;;"(56) (2) 7174400";"Av. Las Condes 7269 Las Condes Chile, Santiago"
"MOTO TECH";;;"(56) (2) 5242921";"Av. José Miguel carrera 5691 San Miguel Chile, Santiago"
"MX.METZELER NEUMÁTICOS Y MOTOS";;;"(56) (2) 2010784";"Av. Kennedy 7890 Chile, Santiago"
MULTIMOTO;;;"(56) (72) 757790";"Freire 732 Chile, Rancagua"
"VERTICAL LTDA.";;;"(56) (57) 376026";"Mall Zofri Local 2111-2112 - Zona Franta Arturo Prat 580 Chile, Iquique"
