"First Name";"Email Address";Url;Telephone;Address
"FERRETERÍA SUMICALI S.A.S.";gerenciadeventas@sumicali.com;www.sumicali.com;"(57) (2) 4418890";"Cl 30 1   N-12 Colombia, Cali"
"FERRETERÍA SUMICALI S.A.S.";gerenciadeventas@sumicali.com;www.sumicali.com;"(57) (2) 4418890";"Cl 30 1   N-12 Colombia, Cali"
"GRUPO ROLDÁN";gcomercial@gruporoldan.com.co;www.gruporoldan.com.co;"(57) (4) 2325027";"Cr50 42-107 Colombia, Medellín"
"FERRETERÍA BARBOSA S.C.S.";info@ferreteriabarbosa.com;www.ferreteriabarbosa.com;"(57) (2) 4863000";"Cr1 31-84 Colombia, Cali"
"JUANCHO GONZÁLEZ DOIT CENTER";info@juanchodoitcenter.com;www.juanchodoitcenter.com;"(57) (8) 5129204";"Cl 8 8 B-23 Rock Hole Colombia, San Andrés"
"FERRETERÍA SUMIVALLE LTDA.";fsumivalle@sumivalle.com;sumivalle.com;"(57) (2) 4862000";"Cr1 54-40 Colombia, Cali"
"GRUPO METROPOLIS";servicioalcliente@grupometropolis.com.co;www.grupometropolisdelacosta.com;"(57) (5) 4203035";"Cr19 Cl 29 S Manz 12-C 5 Colombia, Santa Marta"
"DISTRINORTE FERRETEROS S.A.S.";distrinorte-@hotmail.com;;"(57) (4) 4449004";"Cl 27 75-52 Colombia, Medellín"
"LA GRAN FERRETERIA LTDA.";lagranferreteria@yahoo.com;www.lagranferreterialtda.com;"(57) (6) 3295153";"Cr7 27-65 Colombia, Pereira"
"ARCIGRES DE COLOMBIA";normarose64@yahoo.es;www.arcigresdecolombia.com;"(57) (2) 4879826";"Cl 44   N 5   N-42 Colombia, Cali"
"FERRETERÍA SURTICOLORES";surticolores1@gmail.com;;"(57) (8) 5124047";"Av20 de Julio-3 -64 Colombia, San Andrés"
"HERRAFER LTDA";herrafer@une.net.co;;"(57) (4) 2625716";"Cr51 40-89 Colombia, Medellín"
"JOJAC LTDA.";;;"(57) (1) 2376169";"Cl 17 28-05 Colombia, Bogotá"
"FERRETERÍA AGUILAR LTDA.";;;"Telefax: (57) (1) 2779809";"Cl 15 22-79 Colombia, Bogotá"
