"First Name";"Email Address";Url;Telephone;Address
"ACADEMIA CENTRO EUROPEO DE IDIOMAS";info@europeodeidiomas.com;www.europeodeidiomas.com;"(57) (1) 7024022";"Dg40 A 14-34 Colombia, Bogotá"
"INSTITUTO INGRESE A LA UNIVERSIDAD";info@unisalud.edu.co;www.ingresealau.com;"(57) (1) 3231010";"Cl 50 16-39 Colombia, Bogotá"
UNISALUD;info@unisalud.edu.co;www.unisalud.edu.co;"(57) (1) 3231010";"Cl 50 16-39 Colombia, Bogotá"
"SOCIEDAD PARA LA EDUCACIÓN EN SEGURIDAD DE ANTIOQUIA LTDA. SESLA LTDA.";seslarionegro@une.net.co;www.academiasesla.com;"(57) (4) 2120077";"Cl 65 49-20 Colombia, Medellín"
"ACADEMIA DE BAILE ESTILO CUBANO";;www.estilocubanomedellin.com;"(57) (4) 5811889";"Cl 35 66 A-98 Colombia, Medellín"
"ART MUSIC ACADEMIA DE MÚSICA";artmusictaller@gmail.com;;"(57) (4) 3314411";"Cl 32 B Sur 45 B-56 Envigado Colombia, Medellín"
"ACADEMIA DE ARTE Y CULTURA DEL CARIBE";laacademiadearte@gmail.com;www.academiadearteycultura.com;"(57) (5) 3590635";"Cr46 87-43 Colombia, Barranquilla"
"CENTRO DE ALTO RENDIMIENTO DE CAPACITACIÓN EN SEGURIDAD PRIVADA LTDA.";carspmedellin@hotmail.com;www.carsp.co;"(57) (4) 5804143";"Cl 50 78 A-14 Colombia, Medellín"
"ACADEMIA DE AUTOMOVILISMO AUTOFRANCIA";raultellez@academiaautofrancia.com;www.academiaautofrancia.com;"Telefax: (57) (1) 6155454";"Cl 137 45-33 P-2 Colombia, Bogotá"
"LUXOR DANZA ARABE";luxordanzaarabe@gmail.com;www.luxordanzaarabe.com;"(57) (1) 4073731";"Cl 8 Sur 35 A-58 P-4 Colombia, Bogotá"
"ACADEMIA COLOMBIANA DE COMUNICACIÓN E IMAGEN";comunicacioncolombia@yahoo.es;www.academiacolombianadecomunicacioneimagen.com;"(57) (1) 2321535";"Cr16 39 A-78 Colombia, Bogotá"
